namespace,app/path,pvc,workload claimName refs,storageClass,size,accessModes,current dataSourceRef,expected RD,current RD,expected RS,current RS,repo secret / ClusterES,backup identity,mover UID,mover GID,mover fsGroup,schedule,tier,restore-policy / mode,pvc-plumber.io/enabled,pvc-plumber.io/tier,pvc-plumber.io/mode,classification,migration recommendation,blockers,notes
radar-ng,my-apps/development/radar-ng,state,Deployment/tile-server,longhorn,5Gi,ReadWriteMany,,state-dst,,state,,,radar-ng/state,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
radar-ng,my-apps/development/radar-ng,tiles,Deployment/tile-server,longhorn,100Gi,ReadWriteMany,,tiles-dst,,tiles,,,radar-ng/tiles,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
searxng,my-apps/privacy/searxng,redis-data,Deployment/redis,longhorn,5Gi,ReadWriteOnce,,redis-data-dst,,redis-data,,,searxng/redis-data,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
swarmui,my-apps/ai/swarmui,swarmui-comfyui-models,Deployment/swarmui,nfs-comfyui-10g,250Gi,ReadWriteMany,,swarmui-comfyui-models-dst,,swarmui-comfyui-models,,,swarmui/swarmui-comfyui-models,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
swarmui,my-apps/ai/swarmui,swarmui-dlbackend,Deployment/swarmui,longhorn,40Gi,ReadWriteOnce,,swarmui-dlbackend-dst,,swarmui-dlbackend,,,swarmui/swarmui-dlbackend,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
tubesync,my-apps/media/tubesync,media-pvc,Deployment/tubesync,tubearchivist-smb,1Ti,ReadWriteMany,,media-pvc-dst,,media-pvc,,,tubesync/media-pvc,,,,,,,,,,backup-exempt,"No action — operator will skip; keep `backup-exempt: ""true""` label.",,
gitea,my-apps/development/gitea,gitea-shared-storage,Deployment/gitea,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/gitea-shared-storage-dst,gitea-shared-storage-dst,gitea-shared-storage-dst,gitea-shared-storage,gitea-shared-storage,volsync-kopia-repository,gitea/gitea-shared-storage,1000,1000,1000,14 2 * * *,daily,strict,,,,helm-rendered,Phase 7 special-case: keep Kustomize `patches:` for ServerSideDiff/dataSourceRef; remove RS/RD from chart `extraDeploy:` or values once operator adopts.,,
n8n,my-apps/home/n8n,data,Deployment/n8n,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/data-dst,data-dst,data-dst,data,data,volsync-kopia-repository,n8n/data,1000,1000,1000,14 * * * *,hourly,strict,,,,helm-rendered,Phase 7 special-case: keep Kustomize `patches:` for ServerSideDiff/dataSourceRef; remove RS/RD from chart `extraDeploy:` or values once operator adopts.,,
redis-instance,infrastructure/database/redis/redis-instance,redis-master-0,StatefulSet/redis-master,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/redis-master-0-dst,redis-master-0-dst,redis-master-0-dst,redis-master-0,redis-master-0,volsync-kopia-repository,redis-instance/redis-master-0,1001,1001,1001,30 * * * *,hourly,strict,,,,helm-rendered,Phase 7 special-case: keep Kustomize `patches:` for ServerSideDiff/dataSourceRef; remove RS/RD from chart `extraDeploy:` or values once operator adopts.,,
copyparty,my-apps/media/copyparty,copyparty-data,Deployment/copyparty,longhorn,20Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/copyparty-data-dst,copyparty-data-dst,copyparty-data-dst,copyparty-data,copyparty-data,volsync-kopia-repository,copyparty/copyparty-data,568,568,568,57 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
fizzy,my-apps/utility/fizzy,data,Deployment/fizzy,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/data-dst,data-dst,data-dst,data,data,volsync-kopia-repository,fizzy/data,568,568,568,6 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
frigate,my-apps/home/frigate,frigate-config,Deployment/frigate,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/frigate-config-dst,frigate-config-dst,frigate-config-dst,frigate-config,frigate-config,volsync-kopia-repository,frigate/frigate-config,568,568,568,3 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
home-assistant,my-apps/home/home-assistant,config,Deployment/home-assistant,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/config-dst,config-dst,config-dst,config,config,volsync-kopia-repository,home-assistant/config,568,568,568,46 * * * *,hourly,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
homepage-dashboard,my-apps/media/homepage-dashboard,config,Deployment/homepage-dashboard,longhorn,5Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/config-dst,config-dst,config-dst,config,config,volsync-kopia-repository,homepage-dashboard/config,568,568,568,9 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
immich,my-apps/media/immich,library,"Deployment/immich-machine-learning, Deployment/immich-server",longhorn,300Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/library-dst,library-dst,library-dst,library,library,volsync-kopia-repository,immich/library,568,568,568,44 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
jellyfin,my-apps/media/jellyfin,config,Deployment/jellyfin,longhorn,5Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/config-dst,config-dst,config-dst,config,config,volsync-kopia-repository,jellyfin/config,568,568,568,51 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
karakeep,my-apps/media/karakeep,data-pvc,Deployment/karakeep-web,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/data-pvc-dst,data-pvc-dst,data-pvc-dst,data-pvc,data-pvc,volsync-kopia-repository,karakeep/data-pvc,1001,1001,1001,32 * * * *,hourly,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
karakeep,my-apps/media/karakeep,meilisearch-pvc,Deployment/karakeep-meilisearch,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/meilisearch-pvc-dst,meilisearch-pvc-dst,meilisearch-pvc-dst,meilisearch-pvc,meilisearch-pvc,volsync-kopia-repository,karakeep/meilisearch-pvc,1001,1001,1001,20 * * * *,hourly,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
nginx-example,my-apps/development/nginx,storage,,longhorn,5Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/storage-dst,storage-dst,storage-dst,storage,storage,volsync-kopia-repository,nginx-example/storage,568,568,568,18 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
open-webui,my-apps/ai/open-webui,storage,"Deployment/open-webui, Job/load-har-analyzer-v6",longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/storage-dst,storage-dst,storage-dst,storage,storage,volsync-kopia-repository,open-webui/storage,568,568,568,28 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
paperless-ngx,my-apps/home/paperless-ngx,data,Deployment/paperless-ngx,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/data-dst,data-dst,data-dst,data,data,volsync-kopia-repository,paperless-ngx/data,568,568,568,59 * * * *,hourly,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
paperless-ngx,my-apps/home/paperless-ngx,media,Deployment/paperless-ngx,longhorn,20Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/media-dst,media-dst,media-dst,media,media,volsync-kopia-repository,paperless-ngx/media,568,568,568,13 * * * *,hourly,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
perplexica,my-apps/ai/perplexica,perplexica-data,Deployment/perplexica,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/perplexica-data-dst,perplexica-data-dst,perplexica-data-dst,perplexica-data,perplexica-data,volsync-kopia-repository,perplexica/perplexica-data,568,568,568,49 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
posthog,my-apps/development/posthog,postgres-data,Deployment/db,longhorn,20Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/postgres-data-dst,postgres-data-dst,postgres-data-dst,postgres-data,postgres-data,volsync-kopia-repository,posthog/postgres-data,568,568,568,54 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
posthog,my-apps/development/posthog,redis7-data,Deployment/redis7,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/redis7-data-dst,redis7-data-dst,redis7-data-dst,redis7-data,redis7-data,volsync-kopia-repository,posthog/redis7-data,568,568,568,57 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
posthog,my-apps/development/posthog,redpanda-data-kafka-0,Deployment/kafka,longhorn,20Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/redpanda-data-kafka-0-dst,redpanda-data-kafka-0-dst,redpanda-data-kafka-0-dst,redpanda-data-kafka-0,redpanda-data-kafka-0,volsync-kopia-repository,posthog/redpanda-data-kafka-0,568,568,568,42 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
project-nomad,my-apps/home/project-nomad,flatnotes-data,Deployment/flatnotes,longhorn,5Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/flatnotes-data-dst,flatnotes-data-dst,flatnotes-data-dst,flatnotes-data,flatnotes-data,volsync-kopia-repository,project-nomad/flatnotes-data,568,568,568,2 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
project-nomad,my-apps/home/project-nomad,mysql-data,Deployment/mysql,longhorn,20Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/mysql-data-dst,mysql-data-dst,mysql-data-dst,mysql-data,mysql-data,volsync-kopia-repository,project-nomad/mysql-data,568,568,568,48 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
project-nomad,my-apps/home/project-nomad,nomad-storage,"Deployment/kiwix, Deployment/project-nomad",longhorn,120Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/nomad-storage-dst,nomad-storage-dst,nomad-storage-dst,nomad-storage,nomad-storage,volsync-kopia-repository,project-nomad/nomad-storage,568,568,568,16 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
project-nomad,my-apps/home/project-nomad,qdrant-data,Deployment/qdrant,longhorn,20Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/qdrant-data-dst,qdrant-data-dst,qdrant-data-dst,qdrant-data,qdrant-data,volsync-kopia-repository,project-nomad/qdrant-data,568,568,568,24 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
project-zomboid,my-apps/home/project-zomboid,zomboid-data,Deployment/project-zomboid,longhorn,20Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/zomboid-data-dst,zomboid-data-dst,zomboid-data-dst,zomboid-data,zomboid-data,volsync-kopia-repository,project-zomboid/zomboid-data,568,568,568,59 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
swarmui,my-apps/ai/swarmui,swarmui-data,Deployment/swarmui,longhorn,5Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/swarmui-data-dst,swarmui-data-dst,swarmui-data-dst,swarmui-data,swarmui-data,volsync-kopia-repository,swarmui/swarmui-data,568,568,568,31 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
swarmui,my-apps/ai/swarmui,swarmui-output,Deployment/swarmui,longhorn,50Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/swarmui-output-dst,swarmui-output-dst,swarmui-output-dst,swarmui-output,swarmui-output,volsync-kopia-repository,swarmui/swarmui-output,568,568,568,46 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
tubesync,my-apps/media/tubesync,config-pvc,Deployment/tubesync,longhorn,10Gi,ReadWriteOnce,volsync.backube/ReplicationDestination/config-pvc-dst,config-pvc-dst,config-pvc-dst,config-pvc,config-pvc,volsync-kopia-repository,tubesync/config-pvc,568,568,568,13 2 * * *,daily,strict,,,,inline-argo,"Phase 7 cutover candidate: add `pvc-plumber.io/enabled: ""true""` + tier; remove inline RS/RD doc in same commit; verify audit log says 'would recreate identical resource' before merge.",,
